price,number_of_rooms,size_of_the_apartment,floor_number,address,description
269.0,3,55.0,1,Poznań Zawady,
320.0,3,79.0,10,Poznań Rataje ul. Orła Bialego,
146.0,1,31.21,1,Poznań Nowe Miasto ul. Kawalerka W Nowym Bloku Tuż Przy Lesie,
189.0,2,44.0,2,Poznań Grunwald Ogrody Jeżyce Centrum Łazarz ul. Bułgarska - Dobra Cena!!!, drugie piÄ™tro 
480.24,2,65.25,1,Poznań ul. Droga Dębińska 19,
485.5,2,56.0,1,Poznań Winogrady ul. Winogrady,
299.0,2,26.8,1,Poznań Wilda ul. Różana,
380.0,3,63.9,4,Poznań Piątkowo,
340.0,2,59.0,1,Poznań Stare Miasto ul. Naramowicka,
207.076,2,43.1,2,Poznań Baranowo Baranowo ul. Szamotulska, drugie piÄ™tro 
259.0,2,49.0,1,Poznań Rataje ul. Piastowskie,
160.0,1,29.0,1,Poznań Łazarz Grunwald Górczyn Centrum Ogrody ul. Łukaszewicza - Po Remoncie!!!,
252.0,3,48.0,1,Poznań ul. Ognik,
950.0,5,161.3,1,Poznań Stare Miasto Centrum,
299.0,3,58.2,1,Poznań Rataje ul. Os.Powstań Narodowych,
579.0,4,112.0,1,Poznań Podolany,
323.849,2,54.7,4,Poznań Grunwald ul. Kamiennogórska,
375.0,4,74.0,2,Poznań Piątkowo/Morasko ul. Romana Drewsa, drugie piÄ™tro 
289.0,5,99.76,1,Poznań Kameralne Osiedle Domów Energooszczędnyc ul. Nowe Osiedle Tygrysie Dachowa Ul.Nowina,
309.0,3,65.0,4,Poznań Grunwald ul. Raszkowska,
144.0,1,26.0,1,Poznań Wilda Łazarz Grunwald Centrum Hetmańs ul. Hetmańska,
279.0,2,48.0,2,Poznań Łazarz ul. Chociszewskiego, drugie piÄ™tro 
255.0,1,37.0,3,Poznań Stare Miasto ul. Chwaliszewo, trzecie
385.0,2,61.2,1,Poznań Naramowice ul. Naramowicka,
295.0,2,61.0,3,Poznań Stare Miasto ul. Rybaki Półwiejska Strzelecka Mikołaja Kop, trzecie
270.0,2,69.0,3,Poznań Grunwald ul. Romualda Traugutta, trzecie
295.068,3,49.46,2,Poznań Winogrady ul. Hawelańska, drugie piÄ™tro 
285.0,2,50.0,1,Poznań Piątkowo Naramowice Winogrady Morask ul. Sobieskiego,
233.0,1,31.0,3,Poznań Piątkowo Stare Miasto ul. Os.Batorego Niski Blok, trzecie
320.0,3,59.93,1,Poznań Grunwald ul. Ząbkowicka,
235.0,2,46.0,1,Poznań Rataje ul. Os. Rusa,
267.379,2,46.42,1,Poznań Nowe Miasto ul. Smolna 13 D,
499.0,3,90.0,3,Poznań Strzeszyn Jeżyce ul. Fieldorfa Literacka, trzecie
167.99900000000002,1,37.0,1,Poznań Wilda ul. Dezyderego Chłapowskiego,
300.0,4,70.0,1,Poznań ul. Śródka Zawady Małachowskiego Tomickieg,
319.0,2,55.0,1,Poznań Winiary ul. Winiary,
266.307,2,47.47,1,Poznań Nowe Miasto ul. Smolna 13 D,
417.0,3,55.0,5,Poznań Rataje ul. Katowicka Rataje Malta Nowe Miasto Rataj,
269.0,1,36.0,2,Poznań Winogrady Naramowice Piątkowo Sołacz Cent ul. Serbska - Mieszkanie Do Wejścia Polecam!!, drugie piÄ™tro 
183.0,1,33.13,4,Poznań Stare Miasto ul. Piaskowa,
290.0,3,54.0,3,Poznań Stare Miasto ul. Os. Powstańców Warszawy, trzecie
199.0,1,25.04,4,Poznań Wilda ul. Topolowa,
458.298,2,31.6,4,Poznań Stare Miasto ul. Dominikańska,
255.0,1,33.0,1,Poznań Jeżyce,
345.0,3,84.0,1,Poznań Winogrady Stare Miasto ul. Powstańców Warszawy,
449.0,4,108.0,3,Poznań Grunwald ul. Juliusza Kossaka, trzecie
420.0,3,74.6,1,Poznań Górczyn ul. Kopanina,
235.0,2,38.0,9,Poznań Winogrady ul. Os. Kosmonautów,
329.0,3,58.62,1,Poznań ul. Dolina,
355.0,3,64.0,1,Poznań Rataje,
349.0,2,55.0,1,Poznań Stare Miasto Winogrady ul. Zbożowa,
249.0,2,46.76,1,Poznań Grunwald ul. Biedrzyckiego,
274.9,2,49.3,11,Poznań Stare Miasto Piątkowo,
345.0,2,51.0,2,Poznań Wilda ul. Kosińskiego, drugie piÄ™tro 
230.767,2,47.3,1,Poznań Centrum,
250.0,1,35.0,3,Poznań Piątkowo ul. Ul. Teofila Mateckiego Obornicka, trzecie
195.0,1,22.0,1,Poznań Jeżyce ul. Zwierzyniecka Gajowa,
226.0,3,45.0,3,Poznań Grunwald ul. Promienista, trzecie
600.0,3,106.0,2,Poznań Jeżyce ul. Dąbrowskiego, drugie piÄ™tro 
239.0,2,37.9,3,Poznań Wilda ul. Kosińskiego, trzecie
319.024,3,54.29,3,Poznań Stare Miasto Naramowice ul. Naramowice, trzecie
569.0,4,113.0,1,Poznań Naramowice ul. Błażeja,
139.0,1,31.2,3,Poznań Dębiec ul. Łozowa Kasztanowa, trzecie
225.0,2,45.0,3,Poznań Grunwald, trzecie
329.0,3,70.0,8,Poznań Nowe Miasto ul. Orła Białego,
209.0,2,42.5,9,Poznań Poznań-Grunwald ul. Izaaka Newtona,
243.162,2,42.66,1,Poznań Wilda ul. Rolna 37 I 39,
643.987,3,44.76,3,Poznań Stare Miasto ul. Dominikańska, trzecie
199.0,2,37.9,1,Poznań,
168.0,1,37.0,1,Poznań Wilda ul. Chłapowskiego,
305.0,2,54.0,1,Poznań Naramowice ul. Błażeja,
355.0,2,48.0,1,Poznań Piątkowo ul. Os. Stefana Batorego,
370.496,3,66.16,1,Poznań Wilda ul. Rolna 37 I 39,
325.0,2,38.0,1,Poznań Nowe Miasto Rataje ul. Katowicka Milczańska,
339.0,3,58.0,1,Poznań Jeżyce Podolany Piątkowo,
159.0,1,28.0,1,Poznań Swarzędz ul. Os. Zygmunta Iii Wazy,
185.0,2,49.8,1,Poznań Nowe Miasto ul. Głuszyna,
470.0,4,69.0,3,Poznań Naramowice, trzecie
259.0,2,41.6,1,Poznań Naramowice ul. Błażeja,
272.02099999999996,2,46.7,1,Poznań Nowe Miasto ul. Smolna 13 D,
329.0,3,70.0,2,Poznań Wilda ul. Madalińskiego, drugie piÄ™tro 
245.0,3,48.3,3,Poznań Grunwald ul. Bułgarska, trzecie
319.0,3,66.5,7,Poznań Rataje ul. Os. Stare Żegrze,
273.0,3,79.0,14,Poznań Rataje Malta Starołęka Chartowo Śródk ul. Armii Krajowej,
209.0,2,40.0,10,Poznań Grunwald Górczyn Ogrody Łazarz Centrum ul. Kordeckiego- Niezależy Układ Balkon!!!,
364.0,3,65.0,1,Poznań Grunwald/Łazarz ul. Matejki Jana Matejki,
219.0,1,39.0,3,Poznań Centrum ul. Wroniecka, trzecie
180.0,2,38.0,2,Poznań Łazarz Górczyn Wilda ul. Klaudyny Potockiej, drugie piÄ™tro 
185.0,2,38.0,4,Poznań Grunwald,
290.455,2,47.6,4,Poznań Winogrady ul. Hawelańska,
155.0,2,53.0,1,Poznań Owińska ul. Owińśka,
549.0,3,81.0,3,Poznań Winogrady ul. Żniwna, trzecie
241.87900000000002,2,39.98,1,Poznań Winogrady ul. Hawelańska,
247.5,1,41.33,2,Poznań Winogrady ul. Żniwna, drugie piÄ™tro 
690.0,5,138.0,1,Poznań Centrum,
275.0,2,48.58,4,Poznań Stare Miasto ul. Piaskowa,
255.0,2,58.0,2,Poznań ul. Rolna, drugie piÄ™tro 
202.13400000000001,1,34.26,1,Poznań Winogrady ul. Hawelańska Lechicka,
220.0,2,43.7,2,Poznań Nowe Miasto Rataje, drugie piÄ™tro 
302.42400000000004,1,31.21,3,Poznań Stare Miasto ul. Dominikańska, trzecie
499.0,2,59.0,5,Poznań Centrum Stary Rynek Stare Miasto ul. Garbary Solna Wysoki Standard! Nowe! Okna,
600.0,3,60.15,1,Poznań Chwaliszewo ul. Tylne Chwaliszewo,
239.174,2,38.89,3,Poznań Winogrady ul. Hawelańska, trzecie
488.341,4,77.96,7,Poznań Winogrady ul. Hawelańska,
